chapter,md_file,slide_id,slide_title,need_image,image_priority,image_role,image_type,concept_keywords_zh,concept_keywords_en,search_query_zh,search_query_en,preferred_source_type,avoid_source_type,license_requirement,suggested_caption_zh,insertion_position,layout_hint,reason,existing_image_detected,notes
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,1,第8章 AI代理、主动学习与贝叶斯优化,yes,high,算法流程,flowchart,主动学习；贝叶斯优化；采集函数；不确定性；代理；闭环；优化循环；AI代理 主动学习 贝叶斯优化,AI Agent; AI agent Bayesian optimization active learning loop,贝叶斯优化 主动学习 闭环 AI Agent 流程图 第8章 AI代理、主动学习与贝叶斯优化,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,第8章 AI代理、主动学习与贝叶斯优化的教学示意图,bottom,底部横向流程图,本页涉及主动学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：主动学习；贝叶斯优化；AI Agent；代理；闭环。
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,2,目录,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,3,本章学习目标,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,4,本章知识地图,yes,high,算法流程,flowchart,主动学习；贝叶斯优化；采集函数；不确定性；代理；闭环；优化循环；AI代理 主动学习 贝叶斯优化,AI Agent; AI agent Bayesian optimization active learning loop,贝叶斯优化 主动学习 闭环 AI Agent 流程图 本章知识地图,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,本章知识地图的教学示意图,bottom,底部横向流程图,本页涉及主动学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：主动学习；贝叶斯优化；代理；闭环。
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,5,为什么第8章放在这里？,yes,high,算法流程,algorithm_diagram,贝叶斯；概率分布；先验；后验；似然；概率；正态分布；条件概率；AI代理 主动学习 贝叶斯优化,Bayes; AI agent Bayesian optimization active learning loop,贝叶斯定理 先验 后验 概率图示 为什么第8章放在这里？,Bayes theorem diagram probability prior posterior likelihood AI agent Bayesian optimization active learning loop,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,为什么第8章放在这里？的教学示意图,bottom,底部横向流程图,本页涉及算法机理相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：贝叶斯；概率。
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,6,材料研发中的典型困难,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,7,8.1 AI代理概念：从模型到行动系统,yes,medium,算法流程,flowchart,主动学习；贝叶斯优化；采集函数；不确定性；代理；闭环；优化循环；AI代理 主动学习 贝叶斯优化,AI Agent; AI agent Bayesian optimization active learning loop,贝叶斯优化 主动学习 闭环 AI Agent 流程图 8.1 AI代理概念：从模型到行动系统,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,8.1 AI代理概念：从模型到行动系统的教学示意图,bottom,底部横向流程图,本页涉及主动学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：代理。
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,8,8.1.1 什么是 AI 代理,yes,medium,概念示意,algorithm_diagram,大语言模型；提示工程；生成式；词向量；幻觉；上下文窗口；AI代理 主动学习 贝叶斯优化,token; LLM; prompt; AI agent Bayesian optimization active learning loop,大语言模型 提示工程 Transformer 注意力机制 示意图 8.1.1 什么是 AI 代理,large language model Transformer attention mechanism prompt engineering workflow AI agent Bayesian optimization active learning loop,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,8.1.1 什么是 AI 代理的教学示意图,right,右侧 40% 宽度,本页涉及生成式AI相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：LLM。
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,9,8.1.2 代理与聊天机器人的区别,yes,medium,概念示意,algorithm_diagram,大语言模型；提示工程；生成式；词向量；幻觉；上下文窗口；AI代理 主动学习 贝叶斯优化,token; LLM; prompt; AI agent Bayesian optimization active learning loop,大语言模型 提示工程 Transformer 注意力机制 示意图 8.1.2 代理与聊天机器人的区别,large language model Transformer attention mechanism prompt engineering workflow AI agent Bayesian optimization active learning loop,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,8.1.2 代理与聊天机器人的区别的教学示意图,right,右侧 40% 宽度,本页涉及生成式AI相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：幻觉。
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,10,8.1.3 代理的基本数学抽象,yes,medium,算法流程,flowchart,主动学习；贝叶斯优化；采集函数；不确定性；代理；闭环；优化循环；AI代理 主动学习 贝叶斯优化,AI Agent; AI agent Bayesian optimization active learning loop,贝叶斯优化 主动学习 闭环 AI Agent 流程图 8.1.3 代理的基本数学抽象,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,8.1.3 代理的基本数学抽象的教学示意图,bottom,底部横向流程图,本页涉及主动学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：代理。
