chapter,md_file,slide_id,slide_title,need_image,image_priority,image_role,image_type,concept_keywords_zh,concept_keywords_en,search_query_zh,search_query_en,preferred_source_type,avoid_source_type,license_requirement,suggested_caption_zh,insertion_position,layout_hint,reason,existing_image_detected,notes
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,1,第10章 可信AI、数据安全与综合应用,yes,high,安全合规案例,schematic,隐私；数据安全；公平性；可解释；鲁棒性；联邦学习；差分隐私；合规；伦理；水印；攻击；可信AI 数据安全 综合应用,可信AI; trustworthy AI data security privacy fairness explainability workflow,可信AI 数据安全 隐私 公平性 可解释性 示意图 第10章 可信AI、数据安全与综合应用,trustworthy AI framework data privacy fairness explainability robustness diagram trustworthy AI data security privacy fairness explainability workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,第10章 可信AI、数据安全与综合应用的教学示意图,right,右侧 40% 宽度,本页涉及安全合规案例相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：可信AI；隐私；数据安全；可解释；伦理。
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,2,目录,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,3,本章学习目标,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,4,本章知识地图,yes,high,安全合规案例,schematic,隐私；数据安全；公平性；可解释；鲁棒性；联邦学习；差分隐私；合规；伦理；水印；攻击；可信AI 数据安全 综合应用,可信AI; trustworthy AI data security privacy fairness explainability workflow,可信AI 数据安全 隐私 公平性 可解释性 示意图 本章知识地图,trustworthy AI framework data privacy fairness explainability robustness diagram trustworthy AI data security privacy fairness explainability workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,本章知识地图的教学示意图,right,右侧 40% 宽度,本页涉及安全合规案例相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：隐私；可解释；伦理。
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,5,为什么最后要讲可信AI？,yes,medium,概念示意,algorithm_diagram,大语言模型；提示工程；生成式；词向量；幻觉；上下文窗口；可信AI 数据安全 综合应用,token; LLM; prompt; trustworthy AI data security privacy fairness explainability workflow,大语言模型 提示工程 Transformer 注意力机制 示意图 为什么最后要讲可信AI？,large language model Transformer attention mechanism prompt engineering workflow trustworthy AI data security privacy fairness explainability workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,为什么最后要讲可信AI？的教学示意图,right,右侧 40% 宽度,本页涉及生成式AI相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：大语言模型。
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,6,从性能指标到可信指标,yes,high,安全合规案例,schematic,隐私；数据安全；公平性；可解释；鲁棒性；联邦学习；差分隐私；合规；伦理；水印；攻击；可信AI 数据安全 综合应用,可信AI; trustworthy AI data security privacy fairness explainability workflow,可信AI 数据安全 隐私 公平性 可解释性 示意图 从性能指标到可信指标,trustworthy AI framework data privacy fairness explainability robustness diagram trustworthy AI data security privacy fairness explainability workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,从性能指标到可信指标的教学示意图,right,右侧 40% 宽度,本页涉及安全合规案例相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：可信AI；可解释。
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,7,本章案例贯穿对象,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；可信AI 数据安全 综合应用,SVM; KNN; trustworthy AI data security privacy fairness explainability workflow,机器学习流程 特征工程 模型训练 评估 示意图 本章案例贯穿对象,machine learning workflow feature engineering model training evaluation diagram trustworthy AI data security privacy fairness explainability workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,本章案例贯穿对象的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：随机森林。
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,8,10.1 AI伦理、算法偏差与模型公平性,yes,high,安全合规案例,schematic,隐私；数据安全；公平性；可解释；鲁棒性；联邦学习；差分隐私；合规；伦理；水印；攻击；可信AI 数据安全 综合应用,可信AI; trustworthy AI data security privacy fairness explainability workflow,可信AI 数据安全 隐私 公平性 可解释性 示意图 10.1 AI伦理、算法偏差与模型公平性,trustworthy AI framework data privacy fairness explainability robustness diagram trustworthy AI data security privacy fairness explainability workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,10.1 AI伦理、算法偏差与模型公平性的教学示意图,right,右侧 40% 宽度,本页涉及安全合规案例相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：公平性；伦理。
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,9,10.1.1 AI伦理的基本问题,yes,high,安全合规案例,schematic,隐私；数据安全；公平性；可解释；鲁棒性；联邦学习；差分隐私；合规；伦理；水印；攻击；可信AI 数据安全 综合应用,可信AI; trustworthy AI data security privacy fairness explainability workflow,可信AI 数据安全 隐私 公平性 可解释性 示意图 10.1.1 AI伦理的基本问题,trustworthy AI framework data privacy fairness explainability robustness diagram trustworthy AI data security privacy fairness explainability workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,10.1.1 AI伦理的基本问题的教学示意图,right,右侧 40% 宽度,本页涉及安全合规案例相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：公平性；伦理。
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,10,材料科学中的AI伦理并非遥远问题,yes,medium,模拟结果,simulation,相场；相图；分子动力学；有限元；高通量；材料数据库；材料基因；可信AI 数据安全 综合应用,CALPHAD; Materials Project; phase-field; phase diagram; DFT; trustworthy AI data security privacy fairness explainability workflow,材料信息学 CALPHAD 相图 高通量材料设计 材料科学中的AI伦理并非遥远问题,materials informatics CALPHAD phase diagram high-throughput materials design trustworthy AI data security privacy fairness explainability workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,材料科学中的AI伦理并非遥远问题的教学示意图,right,右侧 40% 宽度,本页涉及材料应用相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：高通量。
