chapter,md_file,slide_id,slide_title,need_image,image_priority,image_role,image_type,concept_keywords_zh,concept_keywords_en,search_query_zh,search_query_en,preferred_source_type,avoid_source_type,license_requirement,suggested_caption_zh,insertion_position,layout_hint,reason,existing_image_detected,notes
ch07,第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,1,第7章 知识库、知识图谱与检索增强生成（RAG）,yes,high,数据流程,flowchart,检索增强；向量数据库；向量检索；知识库；知识图谱；语义检索；知识库 知识图谱 RAG,RAG; GraphRAG; knowledge graph retrieval augmented generation workflow vector database,检索增强生成 RAG 向量数据库 知识图谱 流程图 第7章 知识库、知识图谱与检索增强生成（RAG）,retrieval augmented generation workflow vector database knowledge graph diagram knowledge graph retrieval augmented generation workflow vector database,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,第7章 知识库、知识图谱与检索增强生成（RAG）的教学示意图,bottom,底部横向流程图,本页涉及RAG相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：RAG；检索增强；向量数据库；知识库；知识图谱。
ch07,第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,2,目录,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch07,第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,3,本章学习目标,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch07,第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,4,本章知识梯度,yes,high,数据流程,flowchart,检索增强；向量数据库；向量检索；知识库；知识图谱；语义检索；知识库 知识图谱 RAG,RAG; GraphRAG; knowledge graph retrieval augmented generation workflow vector database,检索增强生成 RAG 向量数据库 知识图谱 流程图 本章知识梯度,retrieval augmented generation workflow vector database knowledge graph diagram knowledge graph retrieval augmented generation workflow vector database,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,本章知识梯度的教学示意图,bottom,底部横向流程图,本页涉及RAG相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：RAG；知识图谱。
ch07,第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,5,第7章内容安排总览,yes,high,数据流程,flowchart,检索增强；向量数据库；向量检索；知识库；知识图谱；语义检索；知识库 知识图谱 RAG,RAG; GraphRAG; knowledge graph retrieval augmented generation workflow vector database,检索增强生成 RAG 向量数据库 知识图谱 流程图 第7章内容安排总览,retrieval augmented generation workflow vector database knowledge graph diagram knowledge graph retrieval augmented generation workflow vector database,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,第7章内容安排总览的教学示意图,bottom,底部横向流程图,本页涉及RAG相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：RAG；向量检索；知识库；知识图谱。
ch07,第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,6,为什么第7章安排在第6章之后？,yes,high,概念示意,algorithm_diagram,大语言模型；提示工程；生成式；词向量；幻觉；上下文窗口；知识库 知识图谱 RAG,token; LLM; prompt; knowledge graph retrieval augmented generation workflow vector database,大语言模型 提示工程 Transformer 注意力机制 示意图 为什么第7章安排在第6章之后？,large language model Transformer attention mechanism prompt engineering workflow knowledge graph retrieval augmented generation workflow vector database,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,为什么第7章安排在第6章之后？的教学示意图,right,右侧 40% 宽度,本页涉及生成式AI相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：大语言模型；生成式。
ch07,第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,7,数据、信息、知识、智慧,yes,medium,数据流程,flowchart,检索增强；向量数据库；向量检索；知识库；知识图谱；语义检索；知识库 知识图谱 RAG,RAG; GraphRAG; knowledge graph retrieval augmented generation workflow vector database,检索增强生成 RAG 向量数据库 知识图谱 流程图 数据、信息、知识、智慧,retrieval augmented generation workflow vector database knowledge graph diagram knowledge graph retrieval augmented generation workflow vector database,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,数据、信息、知识、智慧的教学示意图,bottom,底部横向流程图,本页涉及RAG相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：知识库。
ch07,第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,8,7.1 知识表示、专家系统与知识工程,yes,high,数据流程,flowchart,检索增强；向量数据库；向量检索；知识库；知识图谱；语义检索；知识库 知识图谱 RAG,RAG; GraphRAG; knowledge graph retrieval augmented generation workflow vector database,检索增强生成 RAG 向量数据库 知识图谱 流程图 7.1 知识表示、专家系统与知识工程,retrieval augmented generation workflow vector database knowledge graph diagram knowledge graph retrieval augmented generation workflow vector database,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,7.1 知识表示、专家系统与知识工程的教学示意图,bottom,底部横向流程图,本页涉及RAG相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：RAG；知识图谱。
ch07,第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,9,7.1 的学习任务,yes,medium,模拟结果,simulation,相场；相图；分子动力学；有限元；高通量；材料数据库；材料基因；知识库 知识图谱 RAG,CALPHAD; Materials Project; phase-field; phase diagram; DFT; knowledge graph retrieval augmented generation workflow vector database,材料信息学 CALPHAD 相图 高通量材料设计 7.1 的学习任务,materials informatics CALPHAD phase diagram high-throughput materials design knowledge graph retrieval augmented generation workflow vector database,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,7.1 的学习任务的教学示意图,right,右侧 40% 宽度,本页涉及材料应用相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：相图。
ch07,第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,10,什么是知识表示？,yes,medium,材料组织,microscopy,显微组织；晶粒；组织识别；金相；知识库 知识图谱 RAG,microstructure; SEM; EBSD; knowledge graph retrieval augmented generation workflow vector database,材料显微组织识别 图像 什么是知识表示？,materials microstructure recognition microscopy image knowledge graph retrieval augmented generation workflow vector database,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,什么是知识表示？的教学示意图,right,右侧 40% 宽度,本页涉及材料组织相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：组织识别。
