chapter,md_file,slide_id,slide_title,need_image,image_priority,image_role,image_type,concept_keywords_zh,concept_keywords_en,search_query_zh,search_query_en,preferred_source_type,avoid_source_type,license_requirement,suggested_caption_zh,insertion_position,layout_hint,reason,existing_image_detected,notes
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,1,第5章 深度学习、多模态AI与显微组织识别,yes,high,算法流程,algorithm_diagram,神经网络；卷积；注意力；深度学习；多模态；编码器；解码器；深度学习 多模态AI 显微组织识别,CNN; RNN; Transformer; embedding; deep learning microstructure recognition CNN architecture,神经网络 Transformer 注意力机制 CNN 架构图 第5章 深度学习、多模态AI与显微组织识别,neural network architecture Transformer attention mechanism CNN diagram deep learning microstructure recognition CNN architecture,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,第5章 深度学习、多模态AI与显微组织识别的教学示意图,bottom,底部横向流程图,本页涉及深度学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：神经网络；卷积；Transformer；深度学习；多模态。
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,2,目录,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,3,本章学习目标,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,4,本章知识梯度,yes,high,算法流程,algorithm_diagram,神经网络；卷积；注意力；深度学习；多模态；编码器；解码器；深度学习 多模态AI 显微组织识别,CNN; RNN; Transformer; embedding; deep learning microstructure recognition CNN architecture,神经网络 Transformer 注意力机制 CNN 架构图 本章知识梯度,neural network architecture Transformer attention mechanism CNN diagram deep learning microstructure recognition CNN architecture,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,本章知识梯度的教学示意图,bottom,底部横向流程图,本页涉及深度学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：神经网络；CNN；卷积；Transformer；注意力。
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,5,从传统机器学习到深度学习,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；深度学习 多模态AI 显微组织识别,SVM; KNN; deep learning microstructure recognition CNN architecture,机器学习流程 特征工程 模型训练 评估 示意图 从传统机器学习到深度学习,machine learning workflow feature engineering model training evaluation diagram deep learning microstructure recognition CNN architecture,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,从传统机器学习到深度学习的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：特征工程；随机森林。
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,6,材料显微组织识别的基本链条,yes,high,算法流程,algorithm_diagram,神经网络；卷积；注意力；深度学习；多模态；编码器；解码器；深度学习 多模态AI 显微组织识别,CNN; RNN; Transformer; embedding; deep learning microstructure recognition CNN architecture,神经网络 Transformer 注意力机制 CNN 架构图 材料显微组织识别的基本链条,neural network architecture Transformer attention mechanism CNN diagram deep learning microstructure recognition CNN architecture,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,材料显微组织识别的基本链条的教学示意图,bottom,底部横向流程图,本页涉及深度学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：CNN；RNN；Transformer；多模态。
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,7,5.1 深度学习概述与神经网络基本结构,yes,high,算法流程,algorithm_diagram,神经网络；卷积；注意力；深度学习；多模态；编码器；解码器；深度学习 多模态AI 显微组织识别,CNN; RNN; Transformer; embedding; deep learning microstructure recognition CNN architecture,神经网络 Transformer 注意力机制 CNN 架构图 5.1 深度学习概述与神经网络基本结构,neural network architecture Transformer attention mechanism CNN diagram deep learning microstructure recognition CNN architecture,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,5.1 深度学习概述与神经网络基本结构的教学示意图,bottom,底部横向流程图,本页涉及深度学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：神经网络；深度学习。
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,8,5.1 的学习任务,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；深度学习 多模态AI 显微组织识别,SVM; KNN; deep learning microstructure recognition CNN architecture,机器学习流程 特征工程 模型训练 评估 示意图 5.1 的学习任务,machine learning workflow feature engineering model training evaluation diagram deep learning microstructure recognition CNN architecture,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,5.1 的学习任务的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：过拟合。
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,9,深度学习的基本定义,yes,high,材料组织,microscopy,显微组织；晶粒；组织识别；金相；深度学习 多模态AI 显微组织识别,microstructure; SEM; EBSD; deep learning microstructure recognition CNN architecture,材料显微组织识别 图像 深度学习的基本定义,materials microstructure recognition microscopy image deep learning microstructure recognition CNN architecture,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,深度学习的基本定义的教学示意图,right,右侧 40% 宽度,本页涉及材料组织相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：显微组织；EBSD。
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,10,从输入到输出：函数近似观点,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；深度学习 多模态AI 显微组织识别,SVM; KNN; deep learning microstructure recognition CNN architecture,机器学习流程 特征工程 模型训练 评估 示意图 从输入到输出：函数近似观点,machine learning workflow feature engineering model training evaluation diagram deep learning microstructure recognition CNN architecture,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,从输入到输出：函数近似观点的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：监督学习。
