chapter,md_file,slide_id,slide_title,need_image,image_priority,image_role,image_type,concept_keywords_zh,concept_keywords_en,search_query_zh,search_query_en,preferred_source_type,avoid_source_type,license_requirement,suggested_caption_zh,insertion_position,layout_hint,reason,existing_image_detected,notes
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,1,第1章人工智能、大数据与材料科学概论,yes,low,概念示意,schematic,第1章人工智能、大数据与材料科学概论；人工智能与大数据材料科学概论,AI big data materials science overview; concept diagram,人工智能与大数据材料科学概论 第1章人工智能、大数据与材料科学概论 教学示意图,AI big data materials science overview 第1章人工智能、大数据与材料科学概论 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,第1章人工智能、大数据与材料科学概论的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,2,本章学习目标,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,3,本章知识主线,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,4,目录,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,5,课堂导入：一个材料研发问题,yes,low,概念示意,schematic,课堂导入：一个材料研发问题；人工智能与大数据材料科学概论,AI big data materials science overview; concept diagram,人工智能与大数据材料科学概论 课堂导入：一个材料研发问题 教学示意图,AI big data materials science overview 课堂导入：一个材料研发问题 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,课堂导入：一个材料研发问题的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,6,从材料问题到 AI 问题,yes,low,概念示意,schematic,从材料问题到 AI 问题；人工智能与大数据材料科学概论,AI big data materials science overview; concept diagram,人工智能与大数据材料科学概论 从材料问题到 AI 问题 教学示意图,AI big data materials science overview 从材料问题到 AI 问题 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,从材料问题到 AI 问题的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,7,本章关键概念关系,yes,high,模拟结果,simulation,相场；相图；分子动力学；有限元；高通量；材料数据库；材料基因；人工智能与大数据材料科学概论,CALPHAD; Materials Project; phase-field; phase diagram; DFT; AI big data materials science overview,材料信息学 CALPHAD 相图 高通量材料设计 本章关键概念关系,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,本章关键概念关系的教学示意图,right,右侧 40% 宽度,本页涉及材料应用相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：相场；相图；高通量。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,8,1.1 人工智能的概念、发展与主要学派,yes,high,算法流程,algorithm_diagram,神经网络；卷积；注意力；深度学习；多模态；编码器；解码器；人工智能与大数据材料科学概论,CNN; RNN; Transformer; embedding; AI big data materials science overview,神经网络 Transformer 注意力机制 CNN 架构图 1.1 人工智能的概念、发展与主要学派,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,1.1 人工智能的概念、发展与主要学派的教学示意图,bottom,底部横向流程图,本页涉及深度学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：神经网络；深度学习。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,9,智能的基本含义,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,10,从人类智能到机器智能,yes,low,概念示意,schematic,从人类智能到机器智能；人工智能与大数据材料科学概论,AI big data materials science overview; concept diagram,人工智能与大数据材料科学概论 从人类智能到机器智能 教学示意图,AI big data materials science overview 从人类智能到机器智能 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,从人类智能到机器智能的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,11,人工智能的基本定义,yes,low,概念示意,schematic,人工智能的基本定义；人工智能与大数据材料科学概论,AI big data materials science overview; concept diagram,人工智能与大数据材料科学概论 人工智能的基本定义 教学示意图,AI big data materials science overview 人工智能的基本定义 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,人工智能的基本定义的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,12,AI 不是单一技术,yes,medium,算法流程,algorithm_diagram,神经网络；卷积；注意力；深度学习；多模态；编码器；解码器；人工智能与大数据材料科学概论,CNN; RNN; Transformer; embedding; AI big data materials science overview,神经网络 Transformer 注意力机制 CNN 架构图 AI 不是单一技术,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,AI 不是单一技术的教学示意图,bottom,底部横向流程图,本页涉及深度学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：深度学习。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,13,弱人工智能、强人工智能与超人工智能,yes,low,概念示意,schematic,弱人工智能、强人工智能与超人工智能；人工智能与大数据材料科学概论,AI big data materials science overview; concept diagram,人工智能与大数据材料科学概论 弱人工智能、强人工智能与超人工智能 教学示意图,AI big data materials science overview 弱人工智能、强人工智能与超人工智能 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,弱人工智能、强人工智能与超人工智能的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,14,图灵测试与行为主义视角,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,15,人工智能发展简史：孕育阶段,yes,medium,算法流程,algorithm_diagram,贝叶斯；概率分布；先验；后验；似然；概率；正态分布；条件概率；人工智能与大数据材料科学概论,Bayes; AI big data materials science overview,贝叶斯定理 先验 后验 概率图示 人工智能发展简史：孕育阶段,Bayes theorem diagram probability prior posterior likelihood AI big data materials science overview,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,人工智能发展简史：孕育阶段的教学示意图,bottom,底部横向流程图,本页涉及算法机理相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：概率。
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,16,人工智能发展简史：形成阶段,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,17,人工智能发展简史：起伏与复兴,yes,high,算法流程,algorithm_diagram,神经网络；卷积；注意力；深度学习；多模态；编码器；解码器；人工智能与大数据材料科学概论,CNN; RNN; Transformer; embedding; AI big data materials science overview,神经网络 Transformer 注意力机制 CNN 架构图 人工智能发展简史：起伏与复兴,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,人工智能发展简史：起伏与复兴的教学示意图,bottom,底部横向流程图,本页涉及深度学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：神经网络；深度学习。
