chapter,md_file,slide_id,slide_title,need_image,image_priority,image_role,image_type,concept_keywords_zh,concept_keywords_en,search_query_zh,search_query_en,preferred_source_type,avoid_source_type,license_requirement,suggested_caption_zh,insertion_position,layout_hint,reason,existing_image_detected,notes
ch02,第2章_Python数据处理与材料数据预处理_100页_Marp.md,1,第2章Python数据处理与材料数据预处理,yes,medium,数据流程,flowchart,数据采集；数据清洗；数据预处理；缺失值；异常值；数据标准化；数据流；Python 数据处理 材料数据预处理,Pandas; NumPy; CSV; Python data preprocessing materials dataset workflow,Python Pandas 数据预处理 数据清洗 流程图 第2章Python数据处理与材料数据预处理,Python pandas data preprocessing workflow missing values feature scaling diagram Python data preprocessing materials dataset workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,第2章Python数据处理与材料数据预处理的教学示意图,bottom,底部横向流程图,本页涉及数据流程相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：数据预处理。
ch02,第2章_Python数据处理与材料数据预处理_100页_Marp.md,2,本章学习目标,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch02,第2章_Python数据处理与材料数据预处理_100页_Marp.md,3,本章知识主线,yes,high,数据流程,flowchart,数据采集；数据清洗；数据预处理；缺失值；异常值；数据标准化；数据流；Python 数据处理 材料数据预处理,Pandas; NumPy; CSV; Python data preprocessing materials dataset workflow,Python Pandas 数据预处理 数据清洗 流程图 本章知识主线,Python pandas data preprocessing workflow missing values feature scaling diagram Python data preprocessing materials dataset workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,本章知识主线的教学示意图,bottom,底部横向流程图,本页涉及数据流程相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：Pandas；NumPy。
ch02,第2章_Python数据处理与材料数据预处理_100页_Marp.md,4,课堂导入：为什么先讲数据预处理？,yes,high,材料组织,microscopy,显微组织；晶粒；组织识别；金相；Python 数据处理 材料数据预处理,microstructure; SEM; EBSD; Python data preprocessing materials dataset workflow,材料显微组织识别 图像 课堂导入：为什么先讲数据预处理？,materials microstructure recognition microscopy image Python data preprocessing materials dataset workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,课堂导入：为什么先讲数据预处理？的教学示意图,right,右侧 40% 宽度,本页涉及材料组织相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：显微组织；晶粒。
ch02,第2章_Python数据处理与材料数据预处理_100页_Marp.md,5,从材料数据到机器学习样本,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch02,第2章_Python数据处理与材料数据预处理_100页_Marp.md,6,目录,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch02,第2章_Python数据处理与材料数据预处理_100页_Marp.md,7,2.1 Python科学计算环境简介,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch02,第2章_Python数据处理与材料数据预处理_100页_Marp.md,8,2.1 的学习任务,yes,high,数据流程,flowchart,数据采集；数据清洗；数据预处理；缺失值；异常值；数据标准化；数据流；Python 数据处理 材料数据预处理,Pandas; NumPy; CSV; Python data preprocessing materials dataset workflow,Python Pandas 数据预处理 数据清洗 流程图 2.1 的学习任务,Python pandas data preprocessing workflow missing values feature scaling diagram Python data preprocessing materials dataset workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,2.1 的学习任务的教学示意图,bottom,底部横向流程图,本页涉及数据流程相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：Pandas；NumPy。
ch02,第2章_Python数据处理与材料数据预处理_100页_Marp.md,9,Python在科学计算中的定位,yes,high,数据流程,flowchart,数据采集；数据清洗；数据预处理；缺失值；异常值；数据标准化；数据流；Python 数据处理 材料数据预处理,Pandas; NumPy; CSV; Python data preprocessing materials dataset workflow,Python Pandas 数据预处理 数据清洗 流程图 Python在科学计算中的定位,Python pandas data preprocessing workflow missing values feature scaling diagram Python data preprocessing materials dataset workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,Python在科学计算中的定位的教学示意图,bottom,底部横向流程图,本页涉及数据流程相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：Pandas；NumPy。
ch02,第2章_Python数据处理与材料数据预处理_100页_Marp.md,10,科学计算环境的基本组成,yes,high,数据流程,flowchart,数据采集；数据清洗；数据预处理；缺失值；异常值；数据标准化；数据流；Python 数据处理 材料数据预处理,Pandas; NumPy; CSV; Python data preprocessing materials dataset workflow,Python Pandas 数据预处理 数据清洗 流程图 科学计算环境的基本组成,Python pandas data preprocessing workflow missing values feature scaling diagram Python data preprocessing materials dataset workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,科学计算环境的基本组成的教学示意图,bottom,底部横向流程图,本页涉及数据流程相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：Pandas；NumPy。
