chapter,md_file,slide_id,slide_title,need_image,candidate_rank,download_status,local_path,relative_path,file_name,file_ext,file_size_bytes,width_px,height_px,sha256,source_page_url,direct_image_url,source_title,source_author,source_license,attribution_text,search_query_used,image_role,image_type,caption_zh,layout_hint,duplicate_of,quality_notes
ch09,第9章_大数据平台材料数据库与高通量材料设计_100页_Marp.md,1,第9章 大数据平台、材料数据库与高通量材料设计,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design materials database high-throughput materials design workflow | 材料信息学 CALPHAD 相图 高通量材料设计 第9章 大数据平台、材料数据库与高通量材料设计 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,第9章 大数据平台、材料数据库与高通量材料设计的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch09,第9章_大数据平台材料数据库与高通量材料设计_100页_Marp.md,4,本章知识地图,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design materials database high-throughput materials design workflow | 材料信息学 CALPHAD 相图 高通量材料设计 本章知识地图 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,本章知识地图的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch09,第9章_大数据平台材料数据库与高通量材料设计_100页_Marp.md,5,为什么材料科学需要大数据平台？,yes,1,not_found,,,,,,,,,,,,,,,materials database high-throughput materials design workflow 为什么材料科学需要大数据平台？ concept diagram open educational resource | 材料数据库 高通量材料设计 为什么材料科学需要大数据平台？ 教学示意图 | materials database high-throughput materials design workflow concept diagram diagram,概念示意,schematic,为什么材料科学需要大数据平台？的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch09,第9章_大数据平台材料数据库与高通量材料设计_100页_Marp.md,6,本章与前后章节的衔接,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design materials database high-throughput materials design workflow | 材料信息学 CALPHAD 相图 高通量材料设计 本章与前后章节的衔接 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,本章与前后章节的衔接的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch09,第9章_大数据平台材料数据库与高通量材料设计_100页_Marp.md,7,9.1 大数据采集、存储与处理流程,yes,1,not_found,,,,,,,,,,,,,,,Python pandas data preprocessing workflow missing values feature scaling diagram materials database high-throughput materials design workflow | Python Pandas 数据预处理 数据清洗 流程图 9.1 大数据采集、存储与处理流程 | Pandas NumPy CSV materials database high-throughput materials design workflow diagram,数据流程,flowchart,9.1 大数据采集、存储与处理流程的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch09,第9章_大数据平台材料数据库与高通量材料设计_100页_Marp.md,8,9.1.1 什么是材料大数据,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design materials database high-throughput materials design workflow | 材料信息学 CALPHAD 相图 高通量材料设计 9.1.1 什么是材料大数据 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,9.1.1 什么是材料大数据的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch09,第9章_大数据平台材料数据库与高通量材料设计_100页_Marp.md,9,9.1.2 大数据 4V 特征在材料中的表现,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design materials database high-throughput materials design workflow | 材料信息学 CALPHAD 相图 高通量材料设计 9.1.2 大数据 4V 特征在材料中的表现 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,9.1.2 大数据 4V 特征在材料中的表现的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch09,第9章_大数据平台材料数据库与高通量材料设计_100页_Marp.md,10,9.1.3 材料数据生命周期,yes,1,not_found,,,,,,,,,,,,,,,retrieval augmented generation workflow vector database knowledge graph diagram materials database high-throughput materials design workflow | 检索增强生成 RAG 向量数据库 知识图谱 流程图 9.1.3 材料数据生命周期 | RAG GraphRAG materials database high-throughput materials design workflow diagram,数据流程,flowchart,9.1.3 材料数据生命周期的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch09,第9章_大数据平台材料数据库与高通量材料设计_100页_Marp.md,11,9.1.4 从手工表格到数据流水线,yes,1,not_found,,,,,,,,,,,,,,,Python pandas data preprocessing workflow missing values feature scaling diagram materials database high-throughput materials design workflow | Python Pandas 数据预处理 数据清洗 流程图 9.1.4 从手工表格到数据流水线 | Pandas NumPy CSV materials database high-throughput materials design workflow diagram,数据流程,flowchart,9.1.4 从手工表格到数据流水线的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch09,第9章_大数据平台材料数据库与高通量材料设计_100页_Marp.md,12,9.1.5 ETL 与 ELT,yes,1,not_found,,,,,,,,,,,,,,,materials database high-throughput materials design workflow 9.1.5 ETL 与 ELT concept diagram open educational resource | 材料数据库 高通量材料设计 9.1.5 ETL 与 ELT 教学示意图 | materials database high-throughput materials design workflow concept diagram diagram,概念示意,schematic,9.1.5 ETL 与 ELT的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
