md_file,slide_id,slide_title,need_image,image_type,query_cn,query_en,layout,reason,priority,avoid,source_preference,manual_review
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,1,第7章 知识库、知识图谱与检索增强生成（RAG）,no,,,,,封面或结束页不建议插图,low,not needed,,no
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,2,目录,no,,,,,目录页不需要插图,low,not needed,,no
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,3,本章学习目标,no,,,,,学习目标页以文字为主,low,not needed,,no
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,4,本章知识梯度,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,5,第7章内容安排总览,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,6,为什么第7章安排在第6章之后？,yes,workflow,RAG证据约束流程,retrieval augmented generation evidence workflow,center,解释第6章到第7章的技术衔接,high,避免把RAG画成模型微调,generated,yes
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,7,数据、信息、知识、智慧,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,8,7.1 知识表示、专家系统与知识工程,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,9,7.1 的学习任务,no,,,,,学习目标页以文字为主,low,not needed,,no
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,10,什么是知识表示？,yes,concept,知识表示对象,knowledge representation facts rules constraints,right,知识表示对象抽象，适合概念图,medium,避免空泛科技背景,generated,yes
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,11,知识表示的基本要求,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第7章_知识库知识图谱与检索增强生成RAG_100页_Marp.md,12,产生式规则,no,,,,,该页为代码页，插图会造成拥挤,low,not needed,,no
