md_file,slide_id,slide_title,need_image,image_type,query_cn,query_en,layout,reason,priority,avoid,source_preference,manual_review
第1章_人工智能大数据与材料科学概论_100页_Marp.md,1,第1章人工智能、大数据与材料科学概论,no,,,,,封面页不建议再插图,low,not needed,,no
第1章_人工智能大数据与材料科学概论_100页_Marp.md,2,本章学习目标,no,,,,,学习目标页以文字为主,low,not needed,,no
第1章_人工智能大数据与材料科学概论_100页_Marp.md,3,本章知识主线,yes,diagram,本章概念地图,AI big data materials concept map,center,概念层级较多，适合概念图,medium,避免过度装饰科技背景,generated,yes
第1章_人工智能大数据与材料科学概论_100页_Marp.md,4,目录,no,,,,,目录页不需要插图,low,not needed,,no
第1章_人工智能大数据与材料科学概论_100页_Marp.md,5,课堂导入：一个材料研发问题,yes,workflow,材料研发AI流程,AI materials discovery workflow,center,对比传统与AI路径，适合流程图,high,避免与材料科学无关的卡通图,generated,yes
第1章_人工智能大数据与材料科学概论_100页_Marp.md,6,从材料问题到 AI 问题,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第1章_人工智能大数据与材料科学概论_100页_Marp.md,7,本章关键概念关系,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第1章_人工智能大数据与材料科学概论_100页_Marp.md,8,1.1 人工智能的概念、发展与主要学派,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第1章_人工智能大数据与材料科学概论_100页_Marp.md,9,智能的基本含义,no,,,,,文字说明较完整，暂不插图,low,not needed,,no
第1章_人工智能大数据与材料科学概论_100页_Marp.md,10,从人类智能到机器智能,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第1章_人工智能大数据与材料科学概论_100页_Marp.md,11,人工智能的基本定义,no,,,,,文字说明较完整，暂不插图,low,not needed,,no
第1章_人工智能大数据与材料科学概论_100页_Marp.md,12,AI 不是单一技术,yes,diagram,AI技术谱系,artificial intelligence technology taxonomy,center,技术分支多，结构图更清晰,medium,避免复杂公式和错误文字,generated,yes
第1章_人工智能大数据与材料科学概论_100页_Marp.md,13,弱人工智能、强人工智能与超人工智能,no,,,,,该页已有表格，暂不插图,low,not needed,,no
