md_file,slide_id,slide_title,need_image,image_type,query_cn,query_en,layout,reason,priority,avoid,source_preference,manual_review
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,1,第6章 生成式AI、大语言模型与提示工程,no,,,,,封面或结束页不建议插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,2,目录,no,,,,,目录页不需要插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,3,本章学习目标,no,,,,,学习目标页以文字为主,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,4,本章知识梯度,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,5,从“分析式 AI”到“生成式 AI”,yes,concept,分析式生成式对比,analytic AI generative AI comparison,right,概念转折明显，适合对比图,high,避免空泛科技背景和卡通机器人,generated,yes
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,6,本章的教学逻辑,yes,workflow,生成验证审核流程,generative AI validation audit workflow,center,本章主线适合流程图展示,high,避免复杂公式和错误文字,generated,yes
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,7,第6章内容安排总览,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,8,关键术语预告,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,9,本章与前后章节的关系,no,,,,,文字说明较完整，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,10,6.1 生成式AI概述：VAE、GAN、扩散模型,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,11,6.1 的学习任务,no,,,,,学习目标页以文字为主,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,12,判别式模型与生成式模型,yes,concept,判别生成模型对比,discriminative generative model comparison,right,两类模型差异需视觉对比,high,避免概率关系画错,generated,yes
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,13,生成式 AI 的基本任务,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,14,生成式模型的概率视角,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,15,生成式模型的共同难点,no,,,,,文字说明较完整，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,16,三类典型生成模型,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,17,VAE：从数据到潜空间,yes,diagram,VAE 编码解码结构,variational autoencoder latent space diagram,center,VAE结构适合模型框图,high,避免潜变量和解码关系错误,generated,yes
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,18,VAE 的目标函数：ELBO,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,19,VAE 在材料图像中的直观理解,yes,concept,组织图像潜空间,microstructure image latent space,right,材料图像变化需潜空间示意,medium,避免真实论文图未授权,generated,yes
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,20,VAE 的材料案例思路,yes,workflow,VAE 组织生成流程,VAE microstructure generation workflow,center,材料案例流程适合图示,high,避免伪造真实显微组织图,generated,yes
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,21,GAN：生成器与判别器的博弈,yes,diagram,GAN 对抗结构,GAN generator discriminator architecture,center,生成器判别器关系需框图,high,避免网络箭头方向错误,generated,yes
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,22,GAN 的目标函数,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,23,GAN 的优点与风险,yes,concept,GAN 生成风险,GAN microstructure generation risks,right,优点风险并列，适合警示图,medium,避免夸大生成图真实性,generated,yes
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,24,模式崩塌：GAN 的典型问题,yes,diagram,GAN 模式崩塌,GAN mode collapse illustration,center,模式崩塌抽象，图示更直观,high,避免把多样性变化画反,generated,yes
第6章_生成式AI大语言模型与提示工程_100页_Marp.md,25,扩散模型：从加噪到去噪,yes,workflow,扩散模型去噪过程,diffusion model denoising process,center,加噪去噪过程适合序列图,high,避免噪声过程方向错误,generated,yes
