md_file,slide_id,slide_title,need_image,image_type,query_cn,query_en,layout,reason,priority,avoid,source_preference,manual_review
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,1,第8章 材料大数据、机器学习与智能优化设计,no,,,,,封面页不建议再插图,low,not needed,,no
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,2,本章学习目标,no,,,,,学习目标页以文字为主,low,not needed,,no
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,3,本章知识主线,yes,diagram,本章知识主线,materials big data machine learning roadmap,center,本章逻辑链条适合路线图,medium,避免过度装饰科技背景,generated,yes
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,4,课堂导入：为什么材料AI不是“直接套模型”？,yes,concept,材料AI失败原因,materials AI pitfalls workflow,right,导入材料AI误区，适合概念图,high,避免空泛AI科技背景,generated,yes
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,5,从材料问题到机器学习问题,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,6,目录,no,,,,,目录页不需要插图,low,not needed,,no
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,7,8.1 材料数据来源,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,8,8.1 的学习任务,no,,,,,学习目标页以文字为主,low,not needed,,no
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,9,材料数据的六类来源,yes,diagram,材料数据来源图,materials data sources diagram,center,多源数据关系适合结构图,high,避免遗漏模拟与服役数据,generated,yes
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,10,实验数据：最接近真实材料体系,no,,,,,文字说明较完整，暂不插图,low,not needed,,no
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,11,实验数据中的元数据,no,,,,,文字说明较完整，暂不插图,low,not needed,,no
第8章_材料大数据机器学习与智能优化设计_150页_Marp.md,12,文献数据：材料AI最常见的数据来源之一,yes,concept,文献数据偏差,materials literature data bias,right,文献数据风险需视觉提醒,medium,避免真实论文图未授权,generated,yes
