md_file,slide_id,slide_title,need_image,image_type,query_cn,query_en,layout,reason,priority,avoid,source_preference,manual_review
第4章_机器学习与材料性能预测_100页_Marp.md,1,第4章 机器学习与材料性能预测,no,,,,,封面页不建议再插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,2,目录,no,,,,,目录页不需要插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,3,本章学习目标,no,,,,,学习目标页以文字为主,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,4,本章为什么重要,yes,concept,材料机器学习价值,machine learning materials property prediction,right,导入问题适合用概念图引入,high,避免空泛AI科技背景,generated,yes
第4章_机器学习与材料性能预测_100页_Marp.md,5,4.1 机器学习基本概念与建模流程,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,6,4.1.1 什么是机器学习,yes,concept,机器学习规则对比,machine learning rule programming comparison,right,对比规则编程与数据学习,medium,避免卡通机器人图,generated,yes
第4章_机器学习与材料性能预测_100页_Marp.md,7,4.1.2 从函数映射理解机器学习,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,8,4.1.3 数据集的数学表示,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,9,4.1.4 材料机器学习的输入与输出,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,10,4.1.5 三类基本学习任务,yes,diagram,监督无监督强化,supervised unsupervised reinforcement learning,center,三类学习任务适合结构图,medium,避免概念边界错误,generated,yes
第4章_机器学习与材料性能预测_100页_Marp.md,11,4.1.6 回归任务示例,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,12,4.1.7 分类任务示例,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,13,4.1.8 无监督任务示例,yes,chart,材料聚类降维示意,materials clustering dimensionality reduction,right,无监督任务需展示数据结构,medium,避免无关商业数据图,generated,yes
第4章_机器学习与材料性能预测_100页_Marp.md,14,4.1.9 建模流程总览,yes,workflow,材料机器学习流程,materials machine learning workflow,center,建模流程适合流程图,high,避免过度装饰科技背景,generated,yes
第4章_机器学习与材料性能预测_100页_Marp.md,15,4.1.10 训练集、验证集和测试集,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,16,4.1.11 损失函数的作用,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,17,4.1.12 从经验拟合到泛化预测,yes,diagram,过拟合泛化示意,overfitting generalization training test error,center,泛化与过拟合需要图示,high,避免错误曲线标注,generated,yes
第4章_机器学习与材料性能预测_100页_Marp.md,18,4.1.13 机器学习与材料机理的关系,yes,concept,机器学习材料机理,machine learning physics informed materials,right,强调数据与机理互补关系,medium,避免替代机理的误导图,generated,yes
第4章_机器学习与材料性能预测_100页_Marp.md,19,4.1.14 Python建模流程骨架,no,,,,,该页为代码页，插图会造成拥挤,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,20,4.1.15 本节小结,no,,,,,小结或结束页不建议插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,21,4.2 特征工程与材料描述符,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,22,4.2.1 为什么需要特征工程,yes,workflow,材料特征工程,materials feature engineering workflow,center,材料对象到特征需流程图,high,避免泛化AI图标堆砌,generated,yes
第4章_机器学习与材料性能预测_100页_Marp.md,23,4.2.2 材料描述符的层级,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,24,4.2.3 成分描述符：从元素含量开始,yes,diagram,成分描述符示意,composition descriptors materials informatics,right,元素属性加权适合示意图,medium,避免错误元素周期表截图,generated,yes
第4章_机器学习与材料性能预测_100页_Marp.md,25,4.2.4 混合熵描述符,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,26,4.2.5 工艺描述符,yes,workflow,工艺参数到热历史,processing parameters thermal history,right,工艺描述符需体现过程链条,medium,避免真实论文图未授权,generated,yes
第4章_机器学习与材料性能预测_100页_Marp.md,27,4.2.6 组织描述符,yes,microstructure,显微组织描述符,metal microstructure descriptors grain size,right,组织描述符需显微图辅助,high,避免未授权论文显微图,manual,yes
第4章_机器学习与材料性能预测_100页_Marp.md,28,4.2.7 性能与单位的一致性,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,29,4.2.8 类别变量编码,yes,diagram,类别变量编码,categorical variable one hot encoding,right,编码方式适合小示意图,medium,避免复杂表格截图,generated,no
第4章_机器学习与材料性能预测_100页_Marp.md,30,4.2.9 特征标准化,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,31,4.2.10 特征归一化,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,32,4.2.11 特征交互项,no,,,,,该页以公式说明为主，暂不插图,low,not needed,,no
第4章_机器学习与材料性能预测_100页_Marp.md,33,4.2.12 特征选择的必要性,yes,workflow,特征选择流程,feature selection materials descriptors,center,特征筛选需显示决策步骤,medium,避免把相关性当因果,generated,yes
