chapter,md_file,slide_id,slide_title,need_image,candidate_rank,download_status,local_path,relative_path,file_name,file_ext,file_size_bytes,width_px,height_px,sha256,source_page_url,direct_image_url,source_title,source_author,source_license,attribution_text,search_query_used,image_role,image_type,caption_zh,layout_hint,duplicate_of,quality_notes
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,1,第4章 机器学习与材料性能预测,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1\ch01_s001_r1_phase-diagram-of-water.svg,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,ch01_s001_r1_phase-diagram-of-water.svg,.svg,47162,100,100,98e041b5d9f55f7d1593e60365489053b3bc19a2c2f172a31bd1c91e881b459f,https://commons.wikimedia.org/wiki/File:Phase_diagram_of_water.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Phase_diagram_of_water.svg,Phase diagram of water,unknown; verify on source page,unknown; verify on Wikimedia Commons source page,"Phase diagram of water, Wikimedia Commons, unknown; verify on Wikimedia Commons source page",materials informatics workflow | materials project crystal structure | high throughput materials discovery diagram,算法流程,flowchart,第4章 机器学习与材料性能预测的教学示意图,底部横向流程图,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,reused concept-pool image: materials
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,4,本章为什么重要,yes,1,not_found,,,,,,,,,,,,,,,metallography microstructure steel | microstructure microscopy grains | SEM microstructure material,材料组织,microscopy,本章为什么重要的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found for concept pool: microstructure
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,5,4.1 机器学习基本概念与建模流程 △,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1\ch01_s001_r1_phase-diagram-of-water.svg,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,ch01_s001_r1_phase-diagram-of-water.svg,.svg,47162,100,100,98e041b5d9f55f7d1593e60365489053b3bc19a2c2f172a31bd1c91e881b459f,https://commons.wikimedia.org/wiki/File:Phase_diagram_of_water.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Phase_diagram_of_water.svg,Phase diagram of water,unknown; verify on source page,unknown; verify on Wikimedia Commons source page,"Phase diagram of water, Wikimedia Commons, unknown; verify on Wikimedia Commons source page",materials informatics workflow | materials project crystal structure | high throughput materials discovery diagram,概念示意,schematic,4.1 机器学习基本概念与建模流程 △的教学示意图,右侧 35% 宽度,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,reused concept-pool image: materials
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,6,4.1.1 什么是机器学习,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1\ch01_s001_r1_phase-diagram-of-water.svg,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,ch01_s001_r1_phase-diagram-of-water.svg,.svg,47162,100,100,98e041b5d9f55f7d1593e60365489053b3bc19a2c2f172a31bd1c91e881b459f,https://commons.wikimedia.org/wiki/File:Phase_diagram_of_water.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Phase_diagram_of_water.svg,Phase diagram of water,unknown; verify on source page,unknown; verify on Wikimedia Commons source page,"Phase diagram of water, Wikimedia Commons, unknown; verify on Wikimedia Commons source page",materials informatics workflow | materials project crystal structure | high throughput materials discovery diagram,概念示意,schematic,4.1.1 什么是机器学习的教学示意图,右侧 35% 宽度,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,reused concept-pool image: materials
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,7,4.1.2 从函数映射理解机器学习,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1\ch01_s001_r1_phase-diagram-of-water.svg,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,ch01_s001_r1_phase-diagram-of-water.svg,.svg,47162,100,100,98e041b5d9f55f7d1593e60365489053b3bc19a2c2f172a31bd1c91e881b459f,https://commons.wikimedia.org/wiki/File:Phase_diagram_of_water.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Phase_diagram_of_water.svg,Phase diagram of water,unknown; verify on source page,unknown; verify on Wikimedia Commons source page,"Phase diagram of water, Wikimedia Commons, unknown; verify on Wikimedia Commons source page",materials informatics workflow | materials project crystal structure | high throughput materials discovery diagram,概念示意,schematic,4.1.2 从函数映射理解机器学习的教学示意图,右侧 35% 宽度,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,reused concept-pool image: materials
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,9,4.1.4 材料机器学习的输入与输出,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1\ch01_s001_r1_phase-diagram-of-water.svg,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,ch01_s001_r1_phase-diagram-of-water.svg,.svg,47162,100,100,98e041b5d9f55f7d1593e60365489053b3bc19a2c2f172a31bd1c91e881b459f,https://commons.wikimedia.org/wiki/File:Phase_diagram_of_water.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Phase_diagram_of_water.svg,Phase diagram of water,unknown; verify on source page,unknown; verify on Wikimedia Commons source page,"Phase diagram of water, Wikimedia Commons, unknown; verify on Wikimedia Commons source page",materials informatics workflow | materials project crystal structure | high throughput materials discovery diagram,算法流程,flowchart,4.1.4 材料机器学习的输入与输出的教学示意图,底部横向流程图,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,reused concept-pool image: materials
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,10,4.1.5 三类基本学习任务,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1\ch01_s001_r1_phase-diagram-of-water.svg,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,ch01_s001_r1_phase-diagram-of-water.svg,.svg,47162,100,100,98e041b5d9f55f7d1593e60365489053b3bc19a2c2f172a31bd1c91e881b459f,https://commons.wikimedia.org/wiki/File:Phase_diagram_of_water.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Phase_diagram_of_water.svg,Phase diagram of water,unknown; verify on source page,unknown; verify on Wikimedia Commons source page,"Phase diagram of water, Wikimedia Commons, unknown; verify on Wikimedia Commons source page",materials informatics workflow | materials project crystal structure | high throughput materials discovery diagram,算法流程,flowchart,4.1.5 三类基本学习任务的教学示意图,底部横向流程图,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,reused concept-pool image: materials
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,11,4.1.6 回归任务示例,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1\ch01_s001_r1_phase-diagram-of-water.svg,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,ch01_s001_r1_phase-diagram-of-water.svg,.svg,47162,100,100,98e041b5d9f55f7d1593e60365489053b3bc19a2c2f172a31bd1c91e881b459f,https://commons.wikimedia.org/wiki/File:Phase_diagram_of_water.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Phase_diagram_of_water.svg,Phase diagram of water,unknown; verify on source page,unknown; verify on Wikimedia Commons source page,"Phase diagram of water, Wikimedia Commons, unknown; verify on Wikimedia Commons source page",materials informatics workflow | materials project crystal structure | high throughput materials discovery diagram,算法流程,flowchart,4.1.6 回归任务示例的教学示意图,底部横向流程图,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,reused concept-pool image: materials
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,12,4.1.7 分类任务示例,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1\ch01_s001_r1_phase-diagram-of-water.svg,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,ch01_s001_r1_phase-diagram-of-water.svg,.svg,47162,100,100,98e041b5d9f55f7d1593e60365489053b3bc19a2c2f172a31bd1c91e881b459f,https://commons.wikimedia.org/wiki/File:Phase_diagram_of_water.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Phase_diagram_of_water.svg,Phase diagram of water,unknown; verify on source page,unknown; verify on Wikimedia Commons source page,"Phase diagram of water, Wikimedia Commons, unknown; verify on Wikimedia Commons source page",materials informatics workflow | materials project crystal structure | high throughput materials discovery diagram,算法流程,flowchart,4.1.7 分类任务示例的教学示意图,底部横向流程图,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,reused concept-pool image: materials
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,13,4.1.8 无监督任务示例,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1\ch01_s001_r1_phase-diagram-of-water.svg,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,ch01_s001_r1_phase-diagram-of-water.svg,.svg,47162,100,100,98e041b5d9f55f7d1593e60365489053b3bc19a2c2f172a31bd1c91e881b459f,https://commons.wikimedia.org/wiki/File:Phase_diagram_of_water.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Phase_diagram_of_water.svg,Phase diagram of water,unknown; verify on source page,unknown; verify on Wikimedia Commons source page,"Phase diagram of water, Wikimedia Commons, unknown; verify on Wikimedia Commons source page",materials informatics workflow | materials project crystal structure | high throughput materials discovery diagram,算法流程,flowchart,4.1.8 无监督任务示例的教学示意图,底部横向流程图,assets/downloaded/ch01/text1/ch01_s001_r1_phase-diagram-of-water.svg,reused concept-pool image: materials
