chapter,md_file,slide_id,slide_title,need_image,candidate_rank,download_status,local_path,relative_path,file_name,file_ext,file_size_bytes,width_px,height_px,sha256,source_page_url,direct_image_url,source_title,source_author,source_license,attribution_text,search_query_used,image_role,image_type,caption_zh,layout_hint,duplicate_of,quality_notes
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,1,第1章人工智能、大数据与材料科学概论,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s001_r1_ai-big-data-materials-science-overview-1-con.jpg,assets/downloaded/ch01/text1_loose/ch01_s001_r1_ai-big-data-materials-science-overview-1-con.jpg,ch01_s001_r1_ai-big-data-materials-science-overview-1-con.jpg,.jpg,146267,1598,900,c2f996808ec8a5b284e187cb489d3d91826d75b6498129ebde29cf86babcfb09,https://www.bing.com/images/search?q=AI+big+data+materials+science+overview+%E7%AC%AC1%E7%AB%A0%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E3%80%81%E5%A4%A7%E6%95%B0%E6%8D%AE%E4%B8%8E%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%A6%E6%A6%82%E8%AE%BA+concept+diagram+open+educational+resource+%E7%AC%AC1%E7%AB%A0%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E3%80%81%E5%A4%A7%E6%95%B0%E6%8D%AE%E4%B8%8E%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%A6%E6%A6%82%E8%AE%BA,https://tse1.mm.bing.net/th?q=AI+big+data+materials+science+overview+%E7%AC%AC1%E7%AB%A0%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E3%80%81%E5%A4%A7%E6%95%B0%E6%8D%AE%E4%B8%8E%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%A6%E6%A6%82%E8%AE%BA+concept+diagram+open+educational+resource+%E7%AC%AC1%E7%AB%A0%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E3%80%81%E5%A4%A7%E6%95%B0%E6%8D%AE%E4%B8%8E%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%A6%E6%A6%82%E8%AE%BA&w=1600&h=900&c=7&rs=1&p=0,AI big data materials science overview 第1章人工智能、大数据与材料科学概论 concept diagram open educational resource 第1章人工智能、大数据与材料科学概论,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,AI big data materials science overview 第1章人工智能、大数据与材料科学概论 concept diagram open educational resource,概念示意,schematic,第1章人工智能、大数据与材料科学概论的教学示意图,右侧 35% 宽度,,loose mode; source and copyright not verified; opened successfully
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,5,课堂导入：一个材料研发问题,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s005_r1_ai-big-data-materials-science-overview-conce.jpg,assets/downloaded/ch01/text1_loose/ch01_s005_r1_ai-big-data-materials-science-overview-conce.jpg,ch01_s005_r1_ai-big-data-materials-science-overview-conce.jpg,.jpg,86051,1600,900,94605f8166e565358d5f8159e6e6a318b29d58dd084c23a47ce7ae36608c2005,https://www.bing.com/images/search?q=AI+big+data+materials+science+overview+%E8%AF%BE%E5%A0%82%E5%AF%BC%E5%85%A5%EF%BC%9A%E4%B8%80%E4%B8%AA%E6%9D%90%E6%96%99%E7%A0%94%E5%8F%91%E9%97%AE%E9%A2%98+concept+diagram+open+educational+resource+%E8%AF%BE%E5%A0%82%E5%AF%BC%E5%85%A5%EF%BC%9A%E4%B8%80%E4%B8%AA%E6%9D%90%E6%96%99%E7%A0%94%E5%8F%91%E9%97%AE%E9%A2%98,https://tse1.mm.bing.net/th?q=AI+big+data+materials+science+overview+%E8%AF%BE%E5%A0%82%E5%AF%BC%E5%85%A5%EF%BC%9A%E4%B8%80%E4%B8%AA%E6%9D%90%E6%96%99%E7%A0%94%E5%8F%91%E9%97%AE%E9%A2%98+concept+diagram+open+educational+resource+%E8%AF%BE%E5%A0%82%E5%AF%BC%E5%85%A5%EF%BC%9A%E4%B8%80%E4%B8%AA%E6%9D%90%E6%96%99%E7%A0%94%E5%8F%91%E9%97%AE%E9%A2%98&w=1600&h=900&c=7&rs=1&p=0,AI big data materials science overview 课堂导入：一个材料研发问题 concept diagram open educational resource 课堂导入：一个材料研发问题,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,AI big data materials science overview 课堂导入：一个材料研发问题 concept diagram open educational resource,概念示意,schematic,课堂导入：一个材料研发问题的教学示意图,右侧 35% 宽度,,loose mode; source and copyright not verified; opened successfully
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,6,从材料问题到 AI 问题,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s006_r1_ai-big-data-materials-science-overview-ai-co.jpg,assets/downloaded/ch01/text1_loose/ch01_s006_r1_ai-big-data-materials-science-overview-ai-co.jpg,ch01_s006_r1_ai-big-data-materials-science-overview-ai-co.jpg,.jpg,142964,1600,899,dee114989850cd33b18f7db7e3ce53389413896d30666645994d6396a82ae999,https://www.bing.com/images/search?q=AI+big+data+materials+science+overview+%E4%BB%8E%E6%9D%90%E6%96%99%E9%97%AE%E9%A2%98%E5%88%B0+AI+%E9%97%AE%E9%A2%98+concept+diagram+open+educational+resource+%E4%BB%8E%E6%9D%90%E6%96%99%E9%97%AE%E9%A2%98%E5%88%B0+AI+%E9%97%AE%E9%A2%98,https://tse1.mm.bing.net/th?q=AI+big+data+materials+science+overview+%E4%BB%8E%E6%9D%90%E6%96%99%E9%97%AE%E9%A2%98%E5%88%B0+AI+%E9%97%AE%E9%A2%98+concept+diagram+open+educational+resource+%E4%BB%8E%E6%9D%90%E6%96%99%E9%97%AE%E9%A2%98%E5%88%B0+AI+%E9%97%AE%E9%A2%98&w=1600&h=900&c=7&rs=1&p=0,AI big data materials science overview 从材料问题到 AI 问题 concept diagram open educational resource 从材料问题到 AI 问题,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,AI big data materials science overview 从材料问题到 AI 问题 concept diagram open educational resource,概念示意,schematic,从材料问题到 AI 问题的教学示意图,右侧 35% 宽度,,loose mode; source and copyright not verified; opened successfully
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,7,本章关键概念关系,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s007_r1_materials-informatics-calphad-phase-diagram.jpg,assets/downloaded/ch01/text1_loose/ch01_s007_r1_materials-informatics-calphad-phase-diagram.jpg,ch01_s007_r1_materials-informatics-calphad-phase-diagram.jpg,.jpg,90960,1600,900,e44f9f5c7d685d021460f0ef6918e7f11e454856d99106d0248f4159d0c9d6bb,https://www.bing.com/images/search?q=materials+informatics+CALPHAD+phase+diagram+high-throughput+materials+design+AI+big+data+materials+science+overview+%E6%9C%AC%E7%AB%A0%E5%85%B3%E9%94%AE%E6%A6%82%E5%BF%B5%E5%85%B3%E7%B3%BB,https://tse1.mm.bing.net/th?q=materials+informatics+CALPHAD+phase+diagram+high-throughput+materials+design+AI+big+data+materials+science+overview+%E6%9C%AC%E7%AB%A0%E5%85%B3%E9%94%AE%E6%A6%82%E5%BF%B5%E5%85%B3%E7%B3%BB&w=1600&h=900&c=7&rs=1&p=0,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview 本章关键概念关系,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview,模拟结果,simulation,本章关键概念关系的教学示意图,右侧 40% 宽度,,loose mode; source and copyright not verified; opened successfully
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,8,1.1 人工智能的概念、发展与主要学派,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s008_r1_neural-network-architecture-transformer-atte.jpg,assets/downloaded/ch01/text1_loose/ch01_s008_r1_neural-network-architecture-transformer-atte.jpg,ch01_s008_r1_neural-network-architecture-transformer-atte.jpg,.jpg,80159,1600,899,7dda0a55a6319c353ad06bbd6ee1a7f4d70a38d50522914f4d00e5a918f5b1bc,https://www.bing.com/images/search?q=neural+network+architecture+Transformer+attention+mechanism+CNN+diagram+AI+big+data+materials+science+overview+1.1+%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%9A%84%E6%A6%82%E5%BF%B5%E3%80%81%E5%8F%91%E5%B1%95%E4%B8%8E%E4%B8%BB%E8%A6%81%E5%AD%A6%E6%B4%BE,https://tse1.mm.bing.net/th?q=neural+network+architecture+Transformer+attention+mechanism+CNN+diagram+AI+big+data+materials+science+overview+1.1+%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%9A%84%E6%A6%82%E5%BF%B5%E3%80%81%E5%8F%91%E5%B1%95%E4%B8%8E%E4%B8%BB%E8%A6%81%E5%AD%A6%E6%B4%BE&w=1600&h=900&c=7&rs=1&p=0,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview 1.1 人工智能的概念、发展与主要学派,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview,算法流程,algorithm_diagram,1.1 人工智能的概念、发展与主要学派的教学示意图,底部横向流程图,,loose mode; source and copyright not verified; opened successfully
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,10,从人类智能到机器智能,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s010_r1_ai-big-data-materials-science-overview-conce.jpg,assets/downloaded/ch01/text1_loose/ch01_s010_r1_ai-big-data-materials-science-overview-conce.jpg,ch01_s010_r1_ai-big-data-materials-science-overview-conce.jpg,.jpg,56595,1595,900,fa04f3e6d4d3b0933af526db2b7146994c50b49255aecc3e74a4c5c0734d9674,https://www.bing.com/images/search?q=AI+big+data+materials+science+overview+%E4%BB%8E%E4%BA%BA%E7%B1%BB%E6%99%BA%E8%83%BD%E5%88%B0%E6%9C%BA%E5%99%A8%E6%99%BA%E8%83%BD+concept+diagram+open+educational+resource+%E4%BB%8E%E4%BA%BA%E7%B1%BB%E6%99%BA%E8%83%BD%E5%88%B0%E6%9C%BA%E5%99%A8%E6%99%BA%E8%83%BD,https://tse1.mm.bing.net/th?q=AI+big+data+materials+science+overview+%E4%BB%8E%E4%BA%BA%E7%B1%BB%E6%99%BA%E8%83%BD%E5%88%B0%E6%9C%BA%E5%99%A8%E6%99%BA%E8%83%BD+concept+diagram+open+educational+resource+%E4%BB%8E%E4%BA%BA%E7%B1%BB%E6%99%BA%E8%83%BD%E5%88%B0%E6%9C%BA%E5%99%A8%E6%99%BA%E8%83%BD&w=1600&h=900&c=7&rs=1&p=0,AI big data materials science overview 从人类智能到机器智能 concept diagram open educational resource 从人类智能到机器智能,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,AI big data materials science overview 从人类智能到机器智能 concept diagram open educational resource,概念示意,schematic,从人类智能到机器智能的教学示意图,右侧 35% 宽度,,loose mode; source and copyright not verified; opened successfully
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,11,人工智能的基本定义,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s011_r1_ai-big-data-materials-science-overview-conce.jpg,assets/downloaded/ch01/text1_loose/ch01_s011_r1_ai-big-data-materials-science-overview-conce.jpg,ch01_s011_r1_ai-big-data-materials-science-overview-conce.jpg,.jpg,72860,1598,900,ded0d8476a3081cb3394a8666cb0bc65ab4183261583ce119150cc7e00c5512a,https://www.bing.com/images/search?q=AI+big+data+materials+science+overview+%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%9A%84%E5%9F%BA%E6%9C%AC%E5%AE%9A%E4%B9%89+concept+diagram+open+educational+resource+%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%9A%84%E5%9F%BA%E6%9C%AC%E5%AE%9A%E4%B9%89,https://tse1.mm.bing.net/th?q=AI+big+data+materials+science+overview+%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%9A%84%E5%9F%BA%E6%9C%AC%E5%AE%9A%E4%B9%89+concept+diagram+open+educational+resource+%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%9A%84%E5%9F%BA%E6%9C%AC%E5%AE%9A%E4%B9%89&w=1600&h=900&c=7&rs=1&p=0,AI big data materials science overview 人工智能的基本定义 concept diagram open educational resource 人工智能的基本定义,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,AI big data materials science overview 人工智能的基本定义 concept diagram open educational resource,概念示意,schematic,人工智能的基本定义的教学示意图,右侧 35% 宽度,,loose mode; source and copyright not verified; opened successfully
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,12,AI 不是单一技术,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s008_r1_neural-network-architecture-transformer-atte.jpg,assets/downloaded/ch01/text1_loose/ch01_s008_r1_neural-network-architecture-transformer-atte.jpg,ch01_s008_r1_neural-network-architecture-transformer-atte.jpg,.jpg,80159,,,7dda0a55a6319c353ad06bbd6ee1a7f4d70a38d50522914f4d00e5a918f5b1bc,https://www.bing.com/images/search?q=neural+network+architecture+Transformer+attention+mechanism+CNN+diagram+AI+big+data+materials+science+overview+AI+%E4%B8%8D%E6%98%AF%E5%8D%95%E4%B8%80%E6%8A%80%E6%9C%AF,https://tse1.mm.bing.net/th?q=neural+network+architecture+Transformer+attention+mechanism+CNN+diagram+AI+big+data+materials+science+overview+AI+%E4%B8%8D%E6%98%AF%E5%8D%95%E4%B8%80%E6%8A%80%E6%9C%AF&w=1600&h=900&c=7&rs=1&p=0,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview AI 不是单一技术,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview,算法流程,algorithm_diagram,AI 不是单一技术的教学示意图,底部横向流程图,assets/downloaded/ch01/text1_loose/ch01_s008_r1_neural-network-architecture-transformer-atte.jpg,loose mode; duplicate by SHA256; source and copyright not verified
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,13,弱人工智能、强人工智能与超人工智能,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s013_r1_ai-big-data-materials-science-overview-conce.jpg,assets/downloaded/ch01/text1_loose/ch01_s013_r1_ai-big-data-materials-science-overview-conce.jpg,ch01_s013_r1_ai-big-data-materials-science-overview-conce.jpg,.jpg,136950,1598,900,6b5092a708045dd6737d6636d972d11c8103f5108fe8d8cf195acccfe684dcb1,https://www.bing.com/images/search?q=AI+big+data+materials+science+overview+%E5%BC%B1%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E3%80%81%E5%BC%BA%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E4%B8%8E%E8%B6%85%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD+concept+diagram+open+educational+resource+%E5%BC%B1%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E3%80%81%E5%BC%BA%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E4%B8%8E%E8%B6%85%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD,https://tse1.mm.bing.net/th?q=AI+big+data+materials+science+overview+%E5%BC%B1%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E3%80%81%E5%BC%BA%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E4%B8%8E%E8%B6%85%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD+concept+diagram+open+educational+resource+%E5%BC%B1%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E3%80%81%E5%BC%BA%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E4%B8%8E%E8%B6%85%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD&w=1600&h=900&c=7&rs=1&p=0,AI big data materials science overview 弱人工智能、强人工智能与超人工智能 concept diagram open educational resource 弱人工智能、强人工智能与超人工智能,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,AI big data materials science overview 弱人工智能、强人工智能与超人工智能 concept diagram open educational resource,概念示意,schematic,弱人工智能、强人工智能与超人工智能的教学示意图,右侧 35% 宽度,,loose mode; source and copyright not verified; opened successfully
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,15,人工智能发展简史：孕育阶段,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s015_r1_bayes-theorem-diagram-probability-prior-post.jpg,assets/downloaded/ch01/text1_loose/ch01_s015_r1_bayes-theorem-diagram-probability-prior-post.jpg,ch01_s015_r1_bayes-theorem-diagram-probability-prior-post.jpg,.jpg,69767,1598,900,059585fe1782810380923e3127f3828ed477ea1db44329dbfde401c6ea3843d7,https://www.bing.com/images/search?q=Bayes+theorem+diagram+probability+prior+posterior+likelihood+AI+big+data+materials+science+overview+%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E5%8F%91%E5%B1%95%E7%AE%80%E5%8F%B2%EF%BC%9A%E5%AD%95%E8%82%B2%E9%98%B6%E6%AE%B5,https://tse1.mm.bing.net/th?q=Bayes+theorem+diagram+probability+prior+posterior+likelihood+AI+big+data+materials+science+overview+%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E5%8F%91%E5%B1%95%E7%AE%80%E5%8F%B2%EF%BC%9A%E5%AD%95%E8%82%B2%E9%98%B6%E6%AE%B5&w=1600&h=900&c=7&rs=1&p=0,Bayes theorem diagram probability prior posterior likelihood AI big data materials science overview 人工智能发展简史：孕育阶段,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,Bayes theorem diagram probability prior posterior likelihood AI big data materials science overview,算法流程,algorithm_diagram,人工智能发展简史：孕育阶段的教学示意图,底部横向流程图,,loose mode; source and copyright not verified; opened successfully
