chapter,md_file,slide_id,slide_title,need_image,candidate_rank,download_status,local_path,relative_path,file_name,file_ext,file_size_bytes,width_px,height_px,sha256,source_page_url,direct_image_url,source_title,source_author,source_license,attribution_text,search_query_used,image_role,image_type,caption_zh,layout_hint,duplicate_of,quality_notes
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,1,第8章 AI代理、主动学习与贝叶斯优化,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch08\text1_expanded\ch08_s001_r1_agent-active-learning-bayesian-optimization.jpg,assets/downloaded/ch08/text1_expanded/ch08_s001_r1_agent-active-learning-bayesian-optimization.jpg,ch08_s001_r1_agent-active-learning-bayesian-optimization.jpg,.jpg,73626,1200,800,c0828757f40b6d678c0734433348ed71375cf1489a16838703b76bf72814d121,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+AI%E4%BB%A3%E7%90%86+%E4%B8%BB%E5%8A%A8%E5%AD%A6%E4%B9%A0%E4%B8%8E%E8%B4%9D%E5%8F%B6%E6%96%AF%E4%BC%98%E5%8C%96,https://tse1.mm.bing.net/th?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+AI%E4%BB%A3%E7%90%86+%E4%B8%BB%E5%8A%A8%E5%AD%A6%E4%B9%A0%E4%B8%8E%E8%B4%9D%E5%8F%B6%E6%96%AF%E4%BC%98%E5%8C%96&w=1400&h=900&c=7&rs=1&p=0,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop AI代理 主动学习与贝叶斯优化,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop AI代理 主动学习与贝叶斯优化,算法流程,flowchart,第8章 AI代理、主动学习与贝叶斯优化的教学示意图,底部横向流程图,,expanded loose mode; resumed existing file; opened successfully
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,4,本章知识地图,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch08\text1_expanded\ch08_s004_r1_agent-bayesian-optimization-active-learning.jpg,assets/downloaded/ch08/text1_expanded/ch08_s004_r1_agent-bayesian-optimization-active-learning.jpg,ch08_s004_r1_agent-bayesian-optimization-active-learning.jpg,.jpg,53574,1000,700,589467131124ee08e516086b1ee97508a594026eb6dc1135f2788cc57c6410fc,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+%E6%9C%AC%E7%AB%A0%E7%9F%A5%E8%AF%86%E5%9C%B0%E5%9B%BE,https://tse1.mm.bing.net/th?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+%E6%9C%AC%E7%AB%A0%E7%9F%A5%E8%AF%86%E5%9C%B0%E5%9B%BE&w=1400&h=900&c=7&rs=1&p=0,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop 本章知识地图,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop 本章知识地图,算法流程,flowchart,本章知识地图的教学示意图,底部横向流程图,,expanded loose mode; resumed existing file; opened successfully
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,5,为什么第8章放在这里？,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch08\text1_expanded\ch08_s005_r1_bayes-agent-bayesian-optimization-active-lea.jpg,assets/downloaded/ch08/text1_expanded/ch08_s005_r1_bayes-agent-bayesian-optimization-active-lea.jpg,ch08_s005_r1_bayes-agent-bayesian-optimization-active-lea.jpg,.jpg,76193,1000,700,a62c6edb7ce1bc41d267cc7aa557e4e98997367faca6b3dd2e5e702ae357d942,https://www.bing.com/images/search?q=Bayes+theorem+diagram+probability+prior+posterior+likelihood+AI+agent+Bayesian+optimization+active+learning+loop+%E4%B8%BA%E4%BB%80%E4%B9%88%E6%94%BE%E5%9C%A8%E8%BF%99%E9%87%8C,https://tse1.mm.bing.net/th?q=Bayes+theorem+diagram+probability+prior+posterior+likelihood+AI+agent+Bayesian+optimization+active+learning+loop+%E4%B8%BA%E4%BB%80%E4%B9%88%E6%94%BE%E5%9C%A8%E8%BF%99%E9%87%8C&w=1400&h=900&c=7&rs=1&p=0,Bayes theorem diagram probability prior posterior likelihood AI agent Bayesian optimization active learning loop 为什么放在这里,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,Bayes theorem diagram probability prior posterior likelihood AI agent Bayesian optimization active learning loop 为什么放在这里,算法流程,algorithm_diagram,为什么第8章放在这里？的教学示意图,底部横向流程图,,expanded loose mode; resumed existing file; opened successfully
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,7,8.1 AI代理概念：从模型到行动系统,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch08\text1_expanded\ch08_s007_r1_bayesian-optimization-active-learning-loop-a.jpg,assets/downloaded/ch08/text1_expanded/ch08_s007_r1_bayesian-optimization-active-learning-loop-a.jpg,ch08_s007_r1_bayesian-optimization-active-learning-loop-a.jpg,.jpg,77086,1400,899,e29e4cb0a3c15fdb57b6b35019d91bcd4e33d210f668c085fff704240238196b,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+AI%E4%BB%A3%E7%90%86%E6%A6%82%E5%BF%B5+%E4%BB%8E%E6%A8%A1%E5%9E%8B%E5%88%B0%E8%A1%8C%E5%8A%A8%E7%B3%BB%E7%BB%9F,https://tse1.mm.bing.net/th?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+AI%E4%BB%A3%E7%90%86%E6%A6%82%E5%BF%B5+%E4%BB%8E%E6%A8%A1%E5%9E%8B%E5%88%B0%E8%A1%8C%E5%8A%A8%E7%B3%BB%E7%BB%9F&w=1400&h=900&c=7&rs=1&p=0,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop 8 1 AI代理概念 从模型到行动系统,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop 8 1 AI代理概念 从模型到行动系统,算法流程,flowchart,8.1 AI代理概念：从模型到行动系统的教学示意图,底部横向流程图,,expanded loose mode; resumed existing file; opened successfully
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,8,8.1.1 什么是 AI 代理,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch08\text1_expanded\ch08_s008_r1_agent-active-learning-bayesian-optimization.jpg,assets/downloaded/ch08/text1_expanded/ch08_s008_r1_agent-active-learning-bayesian-optimization.jpg,ch08_s008_r1_agent-active-learning-bayesian-optimization.jpg,.jpg,69079,1200,800,fe172d0baed31eb00840336281c83ba3abb186e80ee324974a140f5f0b64d21c,https://www.bing.com/images/search?q=large+language+model+Transformer+attention+mechanism+prompt+engineering+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+1+%E4%BB%80%E4%B9%88%E6%98%AF+AI+%E4%BB%A3%E7%90%86,https://tse1.mm.bing.net/th?q=large+language+model+Transformer+attention+mechanism+prompt+engineering+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+1+%E4%BB%80%E4%B9%88%E6%98%AF+AI+%E4%BB%A3%E7%90%86&w=1400&h=900&c=7&rs=1&p=0,large language model Transformer attention mechanism prompt engineering workflow AI agent Bayesian optimization active learning loop 8 1 1 什么是 AI 代理,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,large language model Transformer attention mechanism prompt engineering workflow AI agent Bayesian optimization active learning loop 8 1 1 什么是 AI 代理,概念示意,algorithm_diagram,8.1.1 什么是 AI 代理的教学示意图,右侧 40% 宽度,,expanded loose mode; resumed existing file; opened successfully
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,9,8.1.2 代理与聊天机器人的区别,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch08\text1_expanded\ch08_s009_r1_agent-active-learning-bayesian-optimization.jpg,assets/downloaded/ch08/text1_expanded/ch08_s009_r1_agent-active-learning-bayesian-optimization.jpg,ch08_s009_r1_agent-active-learning-bayesian-optimization.jpg,.jpg,72911,1598,900,b83895de894e9d0bed0e9d0e4dafc8f6099ab01faf2b92872f80e2e1e66b6745,https://www.bing.com/images/search?q=large+language+model+Transformer+attention+mechanism+prompt+engineering+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+2+%E4%BB%A3%E7%90%86%E4%B8%8E%E8%81%8A%E5%A4%A9%E6%9C%BA%E5%99%A8%E4%BA%BA%E7%9A%84%E5%8C%BA%E5%88%AB,https://tse1.mm.bing.net/th?q=large+language+model+Transformer+attention+mechanism+prompt+engineering+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+2+%E4%BB%A3%E7%90%86%E4%B8%8E%E8%81%8A%E5%A4%A9%E6%9C%BA%E5%99%A8%E4%BA%BA%E7%9A%84%E5%8C%BA%E5%88%AB&w=1400&h=900&c=7&rs=1&p=0,large language model Transformer attention mechanism prompt engineering workflow AI agent Bayesian optimization active learning loop 8 1 2 代理与聊天机器人的区别,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,large language model Transformer attention mechanism prompt engineering workflow AI agent Bayesian optimization active learning loop 8 1 2 代理与聊天机器人的区别,概念示意,algorithm_diagram,8.1.2 代理与聊天机器人的区别的教学示意图,右侧 40% 宽度,,expanded loose mode; resumed existing file; opened successfully
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,10,8.1.3 代理的基本数学抽象,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch08\text1_expanded\ch08_s010_r1_bayesian-optimization-active-learning-loop-a.jpg,assets/downloaded/ch08/text1_expanded/ch08_s010_r1_bayesian-optimization-active-learning-loop-a.jpg,ch08_s010_r1_bayesian-optimization-active-learning-loop-a.jpg,.jpg,68522,1400,900,8dbae5cceb0db452be54e209a940e36774e2da2e5ce54764342d4269ebac4837,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+3+%E4%BB%A3%E7%90%86%E7%9A%84%E5%9F%BA%E6%9C%AC%E6%95%B0%E5%AD%A6%E6%8A%BD%E8%B1%A1,https://tse1.mm.bing.net/th?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+3+%E4%BB%A3%E7%90%86%E7%9A%84%E5%9F%BA%E6%9C%AC%E6%95%B0%E5%AD%A6%E6%8A%BD%E8%B1%A1&w=1400&h=900&c=7&rs=1&p=0,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop 8 1 3 代理的基本数学抽象,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop 8 1 3 代理的基本数学抽象,算法流程,flowchart,8.1.3 代理的基本数学抽象的教学示意图,底部横向流程图,,expanded loose mode; resumed existing file; opened successfully
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,11,8.1.4 规划：把复杂目标拆成步骤,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch08\text1_expanded\ch08_s011_r1_agent-active-learning-bayesian-optimization.jpg,assets/downloaded/ch08/text1_expanded/ch08_s011_r1_agent-active-learning-bayesian-optimization.jpg,ch08_s011_r1_agent-active-learning-bayesian-optimization.jpg,.jpg,83175,1400,899,bfd780f95029bc73d1fe6550fe8b7a610ab63716a5fd9ef5e2c49a13b821f488,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+4+%E8%A7%84%E5%88%92+%E6%8A%8A%E5%A4%8D%E6%9D%82%E7%9B%AE%E6%A0%87%E6%8B%86%E6%88%90%E6%AD%A5%E9%AA%A4,https://tse1.mm.bing.net/th?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+4+%E8%A7%84%E5%88%92+%E6%8A%8A%E5%A4%8D%E6%9D%82%E7%9B%AE%E6%A0%87%E6%8B%86%E6%88%90%E6%AD%A5%E9%AA%A4&w=1400&h=900&c=7&rs=1&p=0,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop 8 1 4 规划 把复杂目标拆成步骤,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop 8 1 4 规划 把复杂目标拆成步骤,算法流程,flowchart,8.1.4 规划：把复杂目标拆成步骤的教学示意图,底部横向流程图,,expanded loose mode; resumed existing file; opened successfully
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,12,8.1.5 记忆：短期、长期与任务记忆,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch08\text1_expanded\ch08_s012_r1_agent-active-learning-bayesian-optimization.jpg,assets/downloaded/ch08/text1_expanded/ch08_s012_r1_agent-active-learning-bayesian-optimization.jpg,ch08_s012_r1_agent-active-learning-bayesian-optimization.jpg,.jpg,76143,1598,900,cadc3fdb5942a44dfb76ee8830094b1c878f536fe7a678b750cf189b51b861fd,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+5+%E8%AE%B0%E5%BF%86+%E7%9F%AD%E6%9C%9F+%E9%95%BF%E6%9C%9F%E4%B8%8E%E4%BB%BB%E5%8A%A1%E8%AE%B0%E5%BF%86,https://tse1.mm.bing.net/th?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+8+1+5+%E8%AE%B0%E5%BF%86+%E7%9F%AD%E6%9C%9F+%E9%95%BF%E6%9C%9F%E4%B8%8E%E4%BB%BB%E5%8A%A1%E8%AE%B0%E5%BF%86&w=1400&h=900&c=7&rs=1&p=0,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop 8 1 5 记忆 短期 长期与任务记忆,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,Bayesian optimization active learning loop acquisition function AI agent workflow AI agent Bayesian optimization active learning loop 8 1 5 记忆 短期 长期与任务记忆,算法流程,flowchart,8.1.5 记忆：短期、长期与任务记忆的教学示意图,底部横向流程图,,expanded loose mode; resumed existing file; opened successfully
ch08,第8章_AI代理主动学习与贝叶斯优化_100页_Marp.md,13,8.1.6 工具调用：让代理连接外部世界,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch08\text1_expanded\ch08_s013_r1_agent-active-learning-bayesian-optimization.jpg,assets/downloaded/ch08/text1_expanded/ch08_s013_r1_agent-active-learning-bayesian-optimization.jpg,ch08_s013_r1_agent-active-learning-bayesian-optimization.jpg,.jpg,49301,1200,800,e3005396545f7c53378e6e41e26c9ff0cec3631fd0f35d8fcfa851d191624aab,https://www.bing.com/images/search?q=materials+informatics+CALPHAD+phase+diagram+high-throughput+materials+design+AI+agent+Bayesian+optimization+active+learning+loop+8+1+6+%E5%B7%A5%E5%85%B7%E8%B0%83%E7%94%A8+%E8%AE%A9%E4%BB%A3%E7%90%86%E8%BF%9E%E6%8E%A5%E5%A4%96%E9%83%A8%E4%B8%96%E7%95%8C,https://tse1.mm.bing.net/th?q=materials+informatics+CALPHAD+phase+diagram+high-throughput+materials+design+AI+agent+Bayesian+optimization+active+learning+loop+8+1+6+%E5%B7%A5%E5%85%B7%E8%B0%83%E7%94%A8+%E8%AE%A9%E4%BB%A3%E7%90%86%E8%BF%9E%E6%8E%A5%E5%A4%96%E9%83%A8%E4%B8%96%E7%95%8C&w=1400&h=900&c=7&rs=1&p=0,materials informatics CALPHAD phase diagram high-throughput materials design AI agent Bayesian optimization active learning loop 8 1 6 工具调用 让代理连接外部世界,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,materials informatics CALPHAD phase diagram high-throughput materials design AI agent Bayesian optimization active learning loop 8 1 6 工具调用 让代理连接外部世界,模拟结果,simulation,8.1.6 工具调用：让代理连接外部世界的教学示意图,右侧 40% 宽度,,expanded loose mode; resumed existing file; opened successfully
